
wijk	external	internal	total
Rotterdam Centrum	0.119	0.150226144	0.269
Delfshaven	0.074	0.089275015	0.163
Overschie	0.045	0.056351232	0.102
Noord	0.079	0.098477486	0.178
Hillegersberg-Schiebroek	0.048	0.058238319	0.106
Kralingen-Crooswijk	0.098	0.105001285	0.203
Prins Alexander	0.049	0.050695328	0.100
Feijenoord	0.056	0.076915037	0.133
IJsselmonde	0.065	0.061656342	0.126
Charlois	0.072	0.086786687	0.159
Pernis	0.037	0.036635284	0.074
Hoogvliet	0.047	0.049401666	0.096
Hoek van Holland	0.033	0.040566583	0.074
Rozenburg	0.040	0.050675406	0.091

# from onderzoek010 rotterdam, year 2020. Original source in "Bevolking per 1 Januari - Gebieden, full (14-22).xlsx"

